Totalt kapital på Avanza;Totalt kapital i Auto;Kapital i Avanza Auto 1;Kapital i Avanza Auto 2;Kapital i Avanza Auto 3;Kapital i Avanza Auto 4;Kapital i Avanza Auto 5;Kapital i Avanza Auto 6;Kapital i aktier;Kapital i fonder (inklusive Auto);Kund sedan år;Kön;Åldersintervall;Inloggade dagar senaste månaden
2071000;0;0;0;0;0;0;0;0;590000;2012;Kvinna;51-60;1
73000;0;0;0;0;0;0;0;73000;0;2021;Man;51-60;16
119000;0;0;0;0;0;0;0;109000;0;2011;Man;31-40;22
42000;0;0;0;0;0;0;0;13000;27000;2017;Man;31-40;2
0;0;0;0;0;0;0;0;0;0;2015;Man;31-40;3
21000;0;0;0;0;0;0;0;1000;0;2020;Man;31-40;6
40000;0;0;0;0;0;0;0;27000;4000;2007;Man;41-50;3
398000;0;0;0;0;0;0;0;372000;30000;2016;Man;18-30;23
51000;0;0;0;0;0;0;0;13000;38000;2017;Man;41-50;1
185000;0;0;0;0;0;0;0;141000;15000;2013;Man;18-30;12
92000;0;0;0;0;0;0;0;29000;1000;2019;Man;18-30;26
107000;0;0;0;0;0;0;0;97000;0;2020;Kvinna;41-50;15
24000;0;0;0;0;0;0;0;19000;5000;2021;Man;18-30;29
38000;0;0;0;0;0;0;0;32000;0;2016;Kvinna;31-40;1
12079000;0;0;0;0;0;0;0;11983000;0;2020;Man;61-70;17
3000;0;0;0;0;0;0;0;0;0;2021;Man;31-40;1
310000;0;0;0;0;0;0;0;0;310000;2014;Kvinna;31-40;1
7000;0;0;0;0;0;0;0;0;7000;2020;Kvinna;31-40;0
295000;0;0;0;0;0;0;0;0;294000;2015;Man;61-70;1
955000;0;0;0;0;0;0;0;759000;170000;2012;Man;51-60;31
24000;0;0;0;0;0;0;0;0;24000;2017;Kvinna;18-30;6
16000;0;0;0;0;0;0;0;16000;0;2021;Man;18-30;4
12000;0;0;0;0;0;0;0;0;12000;2020;Kvinna;18-30;1
14000;0;0;0;0;0;0;0;0;11000;2021;Man;11-17;2
3644000;0;0;0;0;0;0;0;3541000;91000;2009;Man;71-80;24
0;0;0;0;0;0;0;0;0;0;2018;Kvinna;18-30;3
76000;0;0;0;0;0;0;0;75000;0;2016;Man;61-70;16
45000;0;0;0;0;0;0;0;0;45000;2014;Man;0-10;0
23000;0;0;0;0;0;0;0;0;23000;2021;Kvinna;61-70;20
457000;0;0;0;0;0;0;0;176000;265000;2017;Man;18-30;21
237000;0;0;0;0;0;0;0;179000;0;2013;Kvinna;71-80;0
5000;0;0;0;0;0;0;0;5000;0;2020;Man;18-30;16
145000;0;0;0;0;0;0;0;38000;92000;2020;Man;11-17;28
60000;0;0;0;0;0;0;0;34000;0;2019;Man;31-40;2
32000;0;0;0;0;0;0;0;12000;20000;2020;Kvinna;18-30;4
50000;0;0;0;0;0;0;0;40000;11000;2018;Man;18-30;23
533000;0;0;0;0;0;0;0;227000;123000;2006;Man;71-80;0
15000;0;0;0;0;0;0;0;0;15000;2019;Kvinna;31-40;0
2000;0;0;0;0;0;0;0;0;0;2021;Man;41-50;1
273000;0;0;0;0;0;0;0;0;160000;2020;Kvinna;51-60;24
21000;0;0;0;0;0;0;0;21000;0;2020;Kvinna;41-50;9
2165000;0;0;0;0;0;0;0;787000;1298000;2006;Man;71-80;0
13000;0;0;0;0;0;0;0;0;13000;2020;Kvinna;18-30;1
1000;0;0;0;0;0;0;0;0;0;2002;Man;41-50;0
8000;0;0;0;0;0;0;0;6000;2000;2021;Man;18-30;24
4799000;0;0;0;0;0;0;0;3144000;979000;2017;Företag;-;4
135000;0;0;0;0;0;0;0;47000;71000;2020;Kvinna;41-50;0
1000;0;0;0;0;0;0;0;1000;0;2008;Man;41-50;0
39000;0;0;0;0;0;0;0;39000;0;2018;Man;31-40;2
271000;0;0;0;0;0;0;0;24000;245000;2012;Man;41-50;3
1151000;0;0;0;0;0;0;0;729000;360000;2013;Man;41-50;13
0;0;0;0;0;0;0;0;0;0;2021;Man;31-40;0
0;0;0;0;0;0;0;0;0;0;2006;Kvinna;51-60;0
17000;0;0;0;0;0;0;0;17000;0;2013;Man;41-50;7
152000;0;0;0;0;0;0;0;114000;32000;2016;Kvinna;18-30;6
64000;0;0;0;0;0;0;0;0;63000;2008;Kvinna;61-70;6
191000;0;0;0;0;0;0;0;72000;116000;2019;Man;18-30;20
317000;0;0;0;0;0;0;0;26000;292000;2021;Man;31-40;16
59000;0;0;0;0;0;0;0;0;59000;2018;Man;31-40;7
113000;0;0;0;0;0;0;0;75000;0;2001;Man;91+;0
63000;0;0;0;0;0;0;0;0;52000;2011;Man;31-40;24
124000;0;0;0;0;0;0;0;79000;44000;2020;Man;18-30;21
8000;0;0;0;0;0;0;0;0;8000;2017;Kvinna;18-30;0
1000;0;0;0;0;0;0;0;0;0;2021;Man;61-70;0
275000;33000;0;0;0;0;0;33000;0;205000;2020;Man;51-60;2
13000;13000;0;0;0;0;0;13000;0;13000;2016;Man;18-30;5
34000;0;0;0;0;0;0;0;17000;17000;2020;Man;18-30;20
128000;0;0;0;0;0;0;0;93000;0;2017;Man;51-60;22
529000;0;0;0;0;0;0;0;178000;351000;2019;Man;31-40;9
0;0;0;0;0;0;0;0;0;0;2020;Kvinna;41-50;0
37000;0;0;0;0;0;0;0;36000;1000;2020;Kvinna;0-10;0
55000;0;0;0;0;0;0;0;0;14000;2014;Kvinna;61-70;1
2734000;0;0;0;0;0;0;0;2036000;539000;2019;Företag;-;24
2000;0;0;0;0;0;0;0;2000;0;2021;Kvinna;18-30;2
9000;0;0;0;0;0;0;0;0;0;2020;Kvinna;61-70;0
729000;0;0;0;0;0;0;0;0;729000;2016;Man;41-50;0
185000;0;0;0;0;0;0;0;185000;0;2008;Man;71-80;26
256000;0;0;0;0;0;0;0;275000;0;2014;Man;18-30;27
0;0;0;0;0;0;0;0;0;0;2017;Man;51-60;18
2000;0;0;0;0;0;0;0;0;2000;2021;Kvinna;18-30;3
11000;0;0;0;0;0;0;0;10000;0;2015;Kvinna;18-30;1
300000;0;0;0;0;0;0;0;0;300000;2008;Kvinna;31-40;0
51000;0;0;0;0;0;0;0;7000;1000;2017;Kvinna;18-30;3
275000;0;0;0;0;0;0;0;0;275000;2016;Kvinna;31-40;1
16000;0;0;0;0;0;0;0;0;0;2020;Man;51-60;0
195000;24000;0;0;0;0;18000;6000;156000;27000;2019;Man;18-30;13
108000;0;0;0;0;0;0;0;107000;0;2008;Kvinna;18-30;2
65000;0;0;0;0;0;0;0;0;0;2019;Man;41-50;1
47000;0;0;0;0;0;0;0;0;47000;2017;Kvinna;41-50;0
62000;0;0;0;0;0;0;0;11000;51000;2021;Man;41-50;0
18000;0;0;0;0;0;0;0;6000;11000;2016;Kvinna;31-40;2
119000;0;0;0;0;0;0;0;117000;0;2018;Kvinna;18-30;24
0;0;0;0;0;0;0;0;0;0;2019;Man;18-30;0
13000;13000;0;0;0;0;13000;0;0;13000;2019;Kvinna;31-40;1
72000;0;0;0;0;0;0;0;10000;62000;2021;Man;18-30;7
116000;0;0;0;0;0;0;0;116000;0;2017;Man;18-30;18
12000;0;0;0;0;0;0;0;0;11000;2020;Kvinna;61-70;4
0;0;0;0;0;0;0;0;0;0;2017;Man;51-60;1
23000;0;0;0;0;0;0;0;0;21000;2019;Kvinna;18-30;0
105000;0;0;0;0;0;0;0;104000;0;2019;Kvinna;31-40;6
476000;0;0;0;0;0;0;0;476000;0;2015;Kvinna;71-80;22
4000;0;0;0;0;0;0;0;4000;0;2021;Man;41-50;0
853000;0;0;0;0;0;0;0;830000;0;2015;Man;61-70;19
10553000;0;0;0;0;0;0;0;9719000;495000;2000;Man;41-50;26
10000;0;0;0;0;0;0;0;0;4000;2020;Man;41-50;29
14000;5000;0;0;0;0;5000;0;0;14000;2021;Kvinna;18-30;3
156000;156000;0;0;156000;0;0;0;0;156000;2016;Man;61-70;1
1184000;32000;0;32000;0;0;0;0;1045000;45000;2017;Man;61-70;12
62000;0;0;0;0;0;0;0;2000;60000;2019;Man;18-30;24
467000;0;0;0;0;0;0;0;190000;275000;2013;Man;51-60;22
3000;0;0;0;0;0;0;0;0;3000;2021;Man;18-30;6
759000;0;0;0;0;0;0;0;759000;0;2020;Kvinna;61-70;4
89000;0;0;0;0;0;0;0;75000;13000;2017;Man;18-30;15
600000;0;0;0;0;0;0;0;508000;29000;2000;Man;31-40;14
15000;0;0;0;0;0;0;0;1000;13000;2020;Kvinna;18-30;0
1723000;0;0;0;0;0;0;0;1516000;78000;2015;Kvinna;51-60;0
601000;0;0;0;0;0;0;0;242000;209000;2014;Man;31-40;22
166000;0;0;0;0;0;0;0;4000;161000;2015;Man;18-30;18
781000;0;0;0;0;0;0;0;0;781000;2017;Man;51-60;3
1000;0;0;0;0;0;0;0;1000;0;2021;Man;41-50;0
86000;0;0;0;0;0;0;0;0;86000;2018;Kvinna;51-60;1
132000;0;0;0;0;0;0;0;132000;0;2021;Man;18-30;2
140000;0;0;0;0;0;0;0;0;0;2004;Man;61-70;3
33000;0;0;0;0;0;0;0;30000;3000;2014;Man;31-40;2
2000;2000;0;2000;0;0;0;0;0;2000;2021;Man;18-30;0
5000;0;0;0;0;0;0;0;0;5000;2021;Kvinna;51-60;2
689000;0;0;0;0;0;0;0;225000;389000;2019;Man;31-40;16
332000;1000;0;0;0;0;0;1000;128000;193000;2020;Kvinna;41-50;18
898000;0;0;0;0;0;0;0;360000;532000;2010;Man;61-70;3
1000;0;0;0;0;0;0;0;0;0;2020;Man;18-30;0
7000;0;0;0;0;0;0;0;0;6000;2021;Man;41-50;3
86000;0;0;0;0;0;0;0;67000;19000;2019;Kvinna;51-60;25
1000;0;0;0;0;0;0;0;0;1000;2008;Man;31-40;0
462000;0;0;0;0;0;0;0;365000;76000;2015;Kvinna;51-60;26
135000;0;0;0;0;0;0;0;74000;0;2017;Man;18-30;22
18000;0;0;0;0;0;0;0;17000;0;2020;Man;31-40;15
57000;0;0;0;0;0;0;0;49000;2000;2021;Man;41-50;4
301000;0;0;0;0;0;0;0;290000;0;2000;Man;41-50;21
10000;0;0;0;0;0;0;0;1000;1000;2017;Man;61-70;1
11000;0;0;0;0;0;0;0;0;0;2011;Man;81-90;0
0;0;0;0;0;0;0;0;0;0;2016;Man;41-50;0
791000;0;0;0;0;0;0;0;789000;1000;2021;Man;31-40;19
337000;0;0;0;0;0;0;0;0;336000;2007;Kvinna;41-50;2
134000;0;0;0;0;0;0;0;134000;0;2020;Man;41-50;16
6000;0;0;0;0;0;0;0;0;0;2012;Kvinna;31-40;1
76000;0;0;0;0;0;0;0;30000;45000;2016;Man;31-40;21
4000;0;0;0;0;0;0;0;1000;3000;2021;Kvinna;31-40;2
1000;0;0;0;0;0;0;0;0;0;2021;Kvinna;41-50;0
173000;0;0;0;0;0;0;0;29000;142000;2021;Kvinna;41-50;0
48000;34000;0;1000;0;0;7000;26000;0;48000;2019;Kvinna;61-70;13
7651000;0;0;0;0;0;0;0;5045000;0;2006;Man;81-90;26
2000;0;0;0;0;0;0;0;2000;0;2020;Man;18-30;0
5000;0;0;0;0;0;0;0;0;0;2019;Kvinna;51-60;0
44000;0;0;0;0;0;0;0;31000;12000;2019;Man;18-30;26
23000;0;0;0;0;0;0;0;16000;7000;2017;Kvinna;41-50;18
875000;0;0;0;0;0;0;0;0;384000;2015;Kvinna;31-40;0
67000;0;0;0;0;0;0;0;61000;0;2019;Kvinna;31-40;5
122000;0;0;0;0;0;0;0;0;62000;2019;Man;18-30;3
19000;0;0;0;0;0;0;0;0;18000;2020;Man;31-40;0
293000;0;0;0;0;0;0;0;1000;291000;2010;Man;51-60;3
139000;0;0;0;0;0;0;0;71000;68000;2020;Kvinna;31-40;21
7000;0;0;0;0;0;0;0;3000;4000;2020;Kvinna;31-40;1
7217000;0;0;0;0;0;0;0;443000;6557000;2008;Man;71-80;0
383000;0;0;0;0;0;0;0;141000;242000;2017;Kvinna;31-40;1
0;0;0;0;0;0;0;0;0;0;2021;Man;18-30;1
75000;0;0;0;0;0;0;0;63000;12000;2020;Kvinna;18-30;25
13000;0;0;0;0;0;0;0;0;6000;2021;Kvinna;18-30;2
19000;0;0;0;0;0;0;0;16000;0;2020;Kvinna;18-30;17
55000;0;0;0;0;0;0;0;13000;41000;2020;Man;18-30;14
1000;0;0;0;0;0;0;0;0;1000;2020;Man;11-17;3
291000;0;0;0;0;0;0;0;287000;0;2021;Man;18-30;31
73000;0;0;0;0;0;0;0;0;73000;2019;Kvinna;51-60;0
108000;0;0;0;0;0;0;0;86000;0;2019;Man;41-50;28
105000;0;0;0;0;0;0;0;87000;0;2016;Man;51-60;26
218000;218000;0;0;0;0;218000;0;0;218000;2019;Kvinna;61-70;0
1481000;0;0;0;0;0;0;0;1481000;0;2021;Man;51-60;0
6000;0;0;0;0;0;0;0;3000;0;2020;Man;61-70;12
55000;0;0;0;0;0;0;0;0;55000;2009;Kvinna;31-40;0
376000;0;0;0;0;0;0;0;0;376000;2017;Kvinna;31-40;0
311000;0;0;0;0;0;0;0;142000;159000;2019;Kvinna;31-40;21
127000;0;0;0;0;0;0;0;123000;0;2016;Man;51-60;23
505000;0;0;0;0;0;0;0;178000;317000;2011;Man;41-50;0
1000;0;0;0;0;0;0;0;0;0;2000;Man;81-90;0
26000;0;0;0;0;0;0;0;25000;0;2021;Man;18-30;22
636000;0;0;0;0;0;0;0;175000;57000;2018;Man;18-30;22
17000;0;0;0;0;0;0;0;0;12000;2017;Kvinna;71-80;0
31000;18000;0;0;0;0;18000;0;2000;30000;2021;Man;18-30;5
10000;0;0;0;0;0;0;0;0;10000;2020;Kvinna;18-30;7
1840000;0;0;0;0;0;0;0;774000;0;2008;Kvinna;71-80;22
17000;2000;0;0;0;0;0;2000;12000;4000;2015;Kvinna;41-50;3
9000;0;0;0;0;0;0;0;9000;0;2020;Man;18-30;3
3000;0;0;0;0;0;0;0;4000;0;2021;Man;51-60;0
0;0;0;0;0;0;0;0;0;0;2015;Man;31-40;0
256000;60000;0;0;0;0;0;60000;21000;180000;2017;Kvinna;41-50;13
21000;0;0;0;0;0;0;0;21000;0;2008;Man;31-40;0
29000;0;0;0;0;0;0;0;6000;23000;2020;Man;51-60;4
41000;0;0;0;0;0;0;0;23000;18000;2020;Man;18-30;2
2079000;0;0;0;0;0;0;0;1026000;1030000;2013;Kvinna;31-40;23
322000;0;0;0;0;0;0;0;321000;0;2021;Man;11-17;0
347000;0;0;0;0;0;0;0;225000;10000;2019;Man;18-30;25
30000;0;0;0;0;0;0;0;22000;7000;2020;Kvinna;51-60;22
218000;0;0;0;0;0;0;0;217000;0;2016;Kvinna;41-50;0
90000;52000;0;0;0;0;52000;0;0;90000;2020;Man;18-30;0
94000;0;0;0;0;0;0;0;77000;14000;2020;Kvinna;41-50;1
661000;86000;0;0;0;0;48000;37000;365000;293000;2018;Kvinna;41-50;17
8352000;0;0;0;0;0;0;0;8342000;0;2006;Man;51-60;9
3000;0;0;0;0;0;0;0;3000;0;2020;Kvinna;51-60;0
35000;1000;0;0;0;0;0;1000;6000;1000;2016;Man;18-30;2
21000;0;0;0;0;0;0;0;20000;0;2017;Kvinna;41-50;1
674000;0;0;0;0;0;0;0;302000;41000;2011;Man;41-50;0
133000;0;0;0;0;0;0;0;98000;0;2020;Man;18-30;24
190000;0;0;0;0;0;0;0;0;0;2001;Kvinna;51-60;0
3000;0;0;0;0;0;0;0;1000;2000;2021;Man;41-50;15
3000;0;0;0;0;0;0;0;3000;0;2020;Kvinna;41-50;1
56000;0;0;0;0;0;0;0;0;56000;2019;Kvinna;11-17;0
137000;0;0;0;0;0;0;0;61000;0;2017;Man;41-50;15
1120000;0;0;0;0;0;0;0;1019000;92000;2018;Man;41-50;26
41000;0;0;0;0;0;0;0;40000;1000;2021;Man;18-30;28
6000;5000;0;0;0;0;0;5000;0;5000;2021;Kvinna;31-40;3
134000;1000;0;0;0;0;0;1000;9000;125000;2018;Kvinna;18-30;13
0;0;0;0;0;0;0;0;0;0;2020;Kvinna;31-40;1
4000;2000;0;0;0;0;0;2000;0;4000;2021;Man;41-50;15
1392000;0;0;0;0;0;0;0;445000;946000;2016;Man;31-40;16
94000;0;0;0;0;0;0;0;0;37000;2019;Man;41-50;2
0;0;0;0;0;0;0;0;0;0;2020;Man;31-40;1
159000;0;0;0;0;0;0;0;83000;76000;2021;Man;41-50;15
0;0;0;0;0;0;0;0;0;0;2000;Man;51-60;0
1332000;0;0;0;0;0;0;0;1401000;3000;2013;Kvinna;61-70;30
6000;0;0;0;0;0;0;0;6000;0;2021;Kvinna;18-30;0
5000;0;0;0;0;0;0;0;3000;1000;2021;Man;31-40;7
205000;0;0;0;0;0;0;0;201000;0;2021;Kvinna;61-70;0
5705000;0;0;0;0;0;0;0;5197000;0;2012;Kvinna;71-80;0
32000;0;0;0;0;0;0;0;24000;8000;2014;Kvinna;31-40;8
82000;0;0;0;0;0;0;0;77000;0;2020;Kvinna;31-40;10
0;0;0;0;0;0;0;0;0;0;2007;Man;61-70;0
0;0;0;0;0;0;0;0;0;0;2015;Man;31-40;0
1000;0;0;0;0;0;0;0;0;1000;2021;Man;31-40;2
1188000;0;0;0;0;0;0;0;568000;0;2007;Kvinna;51-60;24
77000;0;0;0;0;0;0;0;22000;55000;2020;Man;18-30;31
17000;0;0;0;0;0;0;0;0;17000;2018;Man;31-40;3
613000;0;0;0;0;0;0;0;92000;371000;2016;Man;41-50;10
2450000;0;0;0;0;0;0;0;2144000;306000;2020;Man;41-50;19
540000;0;0;0;0;0;0;0;105000;432000;2011;Man;31-40;19
0;0;0;0;0;0;0;0;0;0;2021;Man;18-30;4
100000;0;0;0;0;0;0;0;0;61000;2019;Kvinna;41-50;7
1238000;0;0;0;0;0;0;0;319000;809000;2018;Man;31-40;12
4000;0;0;0;0;0;0;0;4000;0;2020;Kvinna;31-40;11
2000;0;0;0;0;0;0;0;0;0;2000;Man;61-70;0
176000;0;0;0;0;0;0;0;8000;168000;2021;Kvinna;31-40;1
3000;0;0;0;0;0;0;0;1000;2000;2021;Kvinna;18-30;8
32000;0;0;0;0;0;0;0;32000;0;2017;Man;31-40;8
195000;0;0;0;0;0;0;0;0;195000;2019;Man;61-70;11
1000;0;0;0;0;0;0;0;0;1000;2021;Man;18-30;4
24000;24000;0;0;0;0;24000;0;0;24000;2020;Företag;-;0
24000;0;0;0;0;0;0;0;12000;12000;2019;Man;18-30;7
7000;0;0;0;0;0;0;0;0;0;2021;Kvinna;51-60;2
32000;29000;0;0;0;0;0;29000;1000;29000;2019;Kvinna;41-50;0
604000;110000;0;3000;0;3000;0;105000;185000;343000;2017;Man;31-40;12
14000;0;0;0;0;0;0;0;2000;7000;2020;Man;11-17;0
57000;0;0;0;0;0;0;0;55000;0;2019;Kvinna;31-40;0
15000;0;0;0;0;0;0;0;12000;3000;2020;Kvinna;41-50;16
12000;0;0;0;0;0;0;0;11000;1000;2020;Kvinna;51-60;3
9000;0;0;0;0;0;0;0;0;9000;2021;Kvinna;61-70;28
24000;0;0;0;0;0;0;0;24000;0;2021;Man;41-50;25
7000;0;0;0;0;0;0;0;0;7000;2021;Kvinna;18-30;7
19000;0;0;0;0;0;0;0;1000;17000;2015;Kvinna;31-40;4
238000;0;0;0;0;0;0;0;238000;0;2021;Man;18-30;5
396000;0;0;0;0;0;0;0;25000;155000;2018;Kvinna;51-60;12
6000;0;0;0;0;0;0;0;6000;0;2021;Man;31-40;15
198000;0;0;0;0;0;0;0;0;197000;2016;Kvinna;41-50;1
105000;0;0;0;0;0;0;0;0;98000;2020;Kvinna;41-50;0
203000;0;0;0;0;0;0;0;161000;42000;2018;Kvinna;31-40;2
93000;0;0;0;0;0;0;0;55000;38000;2017;Kvinna;51-60;21
0;0;0;0;0;0;0;0;0;0;2008;Man;61-70;0
24000;0;0;0;0;0;0;0;0;24000;2020;Kvinna;31-40;8
11000;0;0;0;0;0;0;0;0;0;2017;Man;18-30;0
32000;0;0;0;0;0;0;0;32000;0;2016;Kvinna;41-50;0
5408000;0;0;0;0;0;0;0;4152000;0;2005;Man;31-40;26
0;0;0;0;0;0;0;0;0;0;2009;Kvinna;31-40;0
73000;33000;0;0;0;0;0;33000;16000;54000;2018;Kvinna;61-70;3
0;0;0;0;0;0;0;0;0;0;2015;Man;18-30;21
2000;0;0;0;0;0;0;0;0;2000;2021;Kvinna;18-30;1
45000;0;0;0;0;0;0;0;0;44000;2008;Man;71-80;0
0;0;0;0;0;0;0;0;0;0;2017;Man;18-30;0
1192000;0;0;0;0;0;0;0;0;589000;2021;Kvinna;61-70;2
142000;0;0;0;0;0;0;0;115000;0;2020;Kvinna;18-30;2
4000;0;0;0;0;0;0;0;0;4000;2021;Kvinna;31-40;0
2000;0;0;0;0;0;0;0;2000;0;2021;Man;41-50;1
118000;0;0;0;0;0;0;0;118000;0;2020;Man;31-40;7
267000;0;0;0;0;0;0;0;60000;0;2021;Kvinna;18-30;0
50000;0;0;0;0;0;0;0;40000;9000;2021;Man;31-40;19
2000;0;0;0;0;0;0;0;0;2000;2020;Kvinna;18-30;0
1000;0;0;0;0;0;0;0;0;0;2021;Man;18-30;0
730000;0;0;0;0;0;0;0;654000;26000;2019;Kvinna;31-40;26
553000;0;0;0;0;0;0;0;390000;110000;2016;Man;31-40;18
3058000;4000;0;0;0;0;0;4000;302000;387000;2014;Man;41-50;15
9000;0;0;0;0;0;0;0;8000;0;2020;Man;18-30;17
1330000;0;0;0;0;0;0;0;300000;974000;2015;Man;61-70;1
1072000;75000;0;0;0;0;0;75000;0;1071000;2015;Kvinna;41-50;0
0;0;0;0;0;0;0;0;0;0;2011;Man;18-30;0
1000;0;0;0;0;0;0;0;1000;0;2014;Kvinna;51-60;7
78000;0;0;0;0;0;0;0;2000;76000;2014;Kvinna;0-10;0
27000;0;0;0;0;0;0;0;24000;0;2010;Man;41-50;0
41000;0;0;0;0;0;0;0;22000;17000;2015;Kvinna;18-30;0
115000;0;0;0;0;0;0;0;79000;0;2018;Man;61-70;0
9235000;49000;0;0;0;49000;0;0;5043000;1663000;2016;Man;41-50;27
15000;0;0;0;0;0;0;0;0;15000;2020;Man;18-30;0
5000;0;0;0;0;0;0;0;2000;4000;2020;Man;31-40;7
123000;0;0;0;0;0;0;0;4000;119000;2021;Kvinna;51-60;16
0;0;0;0;0;0;0;0;0;0;2019;Kvinna;18-30;0
11000;0;0;0;0;0;0;0;5000;6000;2021;Kvinna;18-30;6
1403000;0;0;0;0;0;0;0;0;278000;2014;Man;41-50;23
189000;0;0;0;0;0;0;0;0;0;2020;Kvinna;61-70;0
33000;0;0;0;0;0;0;0;0;33000;2019;Kvinna;18-30;1
1000;0;0;0;0;0;0;0;1000;0;2020;Man;18-30;4
301000;0;0;0;0;0;0;0;0;291000;2014;Kvinna;18-30;0
0;0;0;0;0;0;0;0;0;0;2013;Kvinna;61-70;0
0;0;0;0;0;0;0;0;0;0;2017;Man;31-40;0
299000;0;0;0;0;0;0;0;213000;0;2014;Man;18-30;24
0;0;0;0;0;0;0;0;0;0;2017;Man;31-40;0
433000;0;0;0;0;0;0;0;169000;0;2007;Man;31-40;28
879000;2000;0;0;0;0;0;2000;849000;10000;2002;Kvinna;71-80;13
0;0;0;0;0;0;0;0;0;0;2018;Man;18-30;0
0;0;0;0;0;0;0;0;0;0;2000;Man;51-60;0
22000;0;0;0;0;0;0;0;18000;1000;2020;Kvinna;31-40;1
162000;30000;0;0;0;0;30000;0;0;162000;2012;Man;51-60;2
20000;0;0;0;0;0;0;0;0;20000;2018;Kvinna;51-60;0
61000;0;0;0;0;0;0;0;61000;0;2016;Man;18-30;4
37000;0;0;0;0;0;0;0;0;37000;2019;Kvinna;61-70;0
71000;0;0;0;0;0;0;0;8000;51000;2013;Kvinna;18-30;0
34000;0;0;0;0;0;0;0;0;7000;2019;Kvinna;51-60;5
119000;0;0;0;0;0;0;0;87000;41000;2017;Man;41-50;24
98000;21000;0;0;21000;0;0;0;24000;68000;2017;Kvinna;51-60;1
2664000;0;0;0;0;0;0;0;2283000;0;2018;Man;61-70;23
1000;0;0;0;0;0;0;0;1000;0;2021;Man;31-40;24
1000;0;0;0;0;0;0;0;0;0;2010;Man;71-80;0
80000;0;0;0;0;0;0;0;35000;0;2008;Kvinna;31-40;21
53000;53000;0;0;0;0;0;53000;0;53000;2018;Kvinna;61-70;14
107000;0;0;0;0;0;0;0;107000;0;2019;Man;18-30;8
2000;0;0;0;0;0;0;0;2000;0;2020;Man;41-50;0
26000;0;0;0;0;0;0;0;25000;1000;2018;Man;31-40;13
125000;0;0;0;0;0;0;0;116000;18000;2000;Man;51-60;24
78000;0;0;0;0;0;0;0;10000;35000;2000;Man;61-70;5
70000;0;0;0;0;0;0;0;0;70000;2019;Kvinna;31-40;16
5000;0;0;0;0;0;0;0;0;0;2021;Man;51-60;0
11000;0;0;0;0;0;0;0;11000;0;2021;Kvinna;18-30;24
13000;0;0;0;0;0;0;0;8000;3000;2018;Kvinna;31-40;3
4460000;0;0;0;0;0;0;0;1028000;3423000;2000;Man;41-50;15
8000;0;0;0;0;0;0;0;7000;0;2017;Man;41-50;4
340000;0;0;0;0;0;0;0;334000;0;2006;Kvinna;51-60;1
34000;0;0;0;0;0;0;0;34000;0;2020;Man;51-60;16
12000;0;0;0;0;0;0;0;12000;0;2020;Kvinna;18-30;8
552000;0;0;0;0;0;0;0;65000;0;2012;Man;61-70;7
16000;0;0;0;0;0;0;0;16000;0;2016;Man;31-40;27
70000;0;0;0;0;0;0;0;0;70000;2020;Kvinna;41-50;0
2000;0;0;0;0;0;0;0;0;2000;2017;Kvinna;31-40;0
983000;0;0;0;0;0;0;0;581000;334000;2019;Man;31-40;21
418000;0;0;0;0;0;0;0;0;419000;2016;Man;41-50;0
110000;0;0;0;0;0;0;0;86000;20000;2019;Man;31-40;29
0;0;0;0;0;0;0;0;0;0;2008;Kvinna;31-40;0
2728000;0;0;0;0;0;0;0;2035000;286000;2003;Man;41-50;21
355000;0;0;0;0;0;0;0;50000;280000;2011;Man;31-40;10
31000;0;0;0;0;0;0;0;11000;3000;2020;Man;18-30;19
873000;873000;0;0;0;0;413000;460000;0;873000;2020;Man;51-60;7
593000;592000;0;0;0;0;424000;168000;0;592000;2018;Kvinna;31-40;1
10000;0;0;0;0;0;0;0;0;10000;2008;Kvinna;11-17;0
25000;0;0;0;0;0;0;0;3000;12000;2002;Man;61-70;0
1327000;0;0;0;0;0;0;0;210000;35000;2017;Man;31-40;23
531000;8000;0;0;0;0;0;8000;357000;172000;2015;Kvinna;31-40;3
799000;0;0;0;0;0;0;0;393000;171000;2020;Man;61-70;15
4000;0;0;0;0;0;0;0;0;0;2016;Företag;-;0
122000;121000;25000;0;0;63000;0;33000;0;121000;2013;Man;41-50;0
94000;0;0;0;0;0;0;0;94000;0;2020;Man;31-40;21
20000;0;0;0;0;0;0;0;11000;4000;2021;Man;18-30;12
6000;1000;0;1000;0;0;0;0;3000;1000;2021;Kvinna;51-60;10
0;0;0;0;0;0;0;0;0;0;2019;Man;31-40;2
73000;0;0;0;0;0;0;0;26000;15000;2018;Man;18-30;8
2144000;0;0;0;0;0;0;0;1892000;269000;2016;Man;31-40;22
94000;0;0;0;0;0;0;0;0;82000;2015;Kvinna;61-70;0
240000;0;0;0;0;0;0;0;20000;49000;2019;Kvinna;31-40;20
0;0;0;0;0;0;0;0;0;0;2020;Man;31-40;6
919000;0;0;0;0;0;0;0;898000;16000;2000;Man;71-80;11
213000;0;0;0;0;0;0;0;11000;52000;2009;Man;11-17;0
0;0;0;0;0;0;0;0;0;0;2018;Företag;-;0
0;0;0;0;0;0;0;0;0;0;2013;Man;51-60;0
121000;0;0;0;0;0;0;0;113000;8000;2020;Man;18-30;24
21000;0;0;0;0;0;0;0;0;21000;2017;Kvinna;41-50;0
